RowOrder,GeneID,Cluster,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11
1040,DYNC1I1,EarlyInter,0.038671005,2.443446215,-0.158128949,1.130253835,-0.015680078,-1.087355642,0.433145263,0.028507817,-1.087355642,-0.229959107,-0.725073296,-0.770471421
1041,C2CD3,EarlyInter,0.651841591,1.510776008,-1.65721558,0.828839242,-0.819058043,-0.577982465,-0.283223399,0.373081851,-1.016454917,1.229827781,-0.848376147,0.607944079
1042,BAG6,EarlyInter,-0.529767744,0.65873347,-0.169448344,0.815662861,1.472271011,-1.560404612,-0.850904178,-1.324000574,1.40148691,0.554811089,-0.489405093,0.020965204
1043,BOLA3,EarlyInter,0.156620057,-0.512157279,1.01232752,0.366368696,-1.000642044,0.619870497,0.596239207,1.324400434,-0.902185446,0.564509582,-2.219555626,-0.005795599
1044,FAU,EarlyInter,-0.800934828,-1.22363396,1.448575759,0.53595973,0.350548567,0.777244188,0.647701489,0.607352018,0.454710604,-1.187961214,-1.816426665,0.20686431
1045,DRG1,EarlyInter,1.533023972,0.935589196,-0.447545326,-0.024854346,-1.356255394,-0.345436451,0.427728761,0.151234943,-7.16E-05,0.971619606,-2.097867293,0.252833979
1046,DPF2,EarlyInter,-0.304345719,-0.506488264,0.165895406,-0.013660712,-1.665745698,1.132267998,1.948208998,-1.357901677,0.349394926,0.14429549,-0.56975603,0.677835283
1047,DHPS,EarlyInter,0.592370625,1.169433409,-0.1303723,0.712608528,-1.377522683,0.194576807,0.038119612,0.251230096,-0.820247662,0.616310087,-2.192836414,0.946329893
1048,CCDC120,EarlyInter,0.447907153,2.022861819,-0.049576585,0.747812686,-0.946423037,-0.966520836,-0.614885104,0.216128297,-1.532855371,-0.385931495,1.17459376,-0.113111286
1049,DTX3,EarlyInter,-0.180797428,-0.019007657,1.494760077,1.600484114,-1.079053932,0.340900467,0.807042983,-0.077310125,-1.193973304,-0.69708592,-1.453427096,0.457467822
1050,C11orf1,EarlyInter,-1.171275585,-1.103094017,1.126050323,-0.046533188,-0.52200447,1.508294435,0.065626789,0.566523518,0.547936897,0.026616993,-1.816143198,0.818001503
1051,APOBEC3F,EarlyInter,-0.004203032,-0.564210424,-0.056117627,-0.989455262,0.580795462,-0.386335252,0.926690788,-0.994155974,2.250420221,-0.224648956,0.756718593,-1.295498538
1053,CETN2,EarlyInter,0.294069216,1.044937624,0.082842082,-0.992539866,-1.287596156,0.710244966,0.463786203,-0.471739959,1.58864225,0.68199164,-0.348482372,-1.766155627
1055,CHST5,EarlyInter,0.73710748,-0.204231164,1.155669267,-0.814872034,-0.663694672,-0.7502427,1.050167101,0.380236854,1.842506048,-0.895614937,-0.544154813,-1.292876429
