Gene_name,stat
Ppp2r3a,8.268
Slc6a6,8.267
Add3,8.266
Decr2,8.264
Zfp185,8.262
Tmem86a,8.26
Scd2,8.253
Bgn,8.245
Pof1b,8.244
Fuca2,8.239
Heca,8.234
Wdsub1,8.234
Vash2,8.232
Tmem175,8.228
Triqk,8.226
Npr3,8.222
Dynlt3,8.201
Eno2,8.191
B9d1,8.175
Slc43a3,8.172
Necap2,8.169
Irak4,8.165
Aplp2,8.163
Efna3,8.16
Invs,8.158
Rora,8.157
Fam3a,8.15
Hmgn3,8.142
Tmed8,8.135
Ide,8.129
Tctn2,8.117
Man1c1,8.113
Fam189a2,8.108
Oplah,8.104
Ltbp3,8.091
Gxylt2,8.087
Manea,8.078
Rab36,8.078
Ift140,8.076
Fam168a,8.074
Rp2,8.061
Kdelr1,8.058
Slc16a13,8.056
Fig4,8.055
Pdia3,8.048
Picalm,8.044
Plat,8.042
Pparg,8.042
Ccndbp1,8.034
Babam2,8.027
Ascc1,8.025
Tbc1d8b,8.018
Pard3,8.017
Col5a1,8.006
Sidt2,8.004
Ar,8.001
Sh3d19,8
Npas2,7.999
Gng4,7.998
Gpr137,7.998
Ppp1r2,7.996
Tsc22d1,7.994
Rubcnl,7.988
Stk32b,7.977
Dusp9,7.967
Slc30a4,7.966
Galnt7,7.953
H2-D1,7.953
Cd276,7.95
Cdkl2,7.95
Swap70,7.949
H3c14,7.944
Mcub,7.928
Metap2,7.927
Rbpms,7.922
Ccdc122,7.92
Ppp1r9b,7.919
Fstl1,7.909
Rnf145,7.909
Lingo3,7.907
Bsdc1,7.903
Pias3,7.896
Alox5ap,7.879
Plpp3,7.874
Slc46a1,7.864
Tnip1,7.845
Lyrm9,7.842
Smim14,7.842
Tmem19,7.842
Lhfpl2,7.84
Mxi1,7.84
Man2a2,7.832
Bphl,7.819
Chp1,7.819
Dlgap2,7.817
Stab2,7.802
Gabre,7.788
Hacd2,7.775
Scamp1,7.775
Uhmk1,7.773
Phf21a,7.769
Atp6ap1,7.767
P4ha1,7.753
Zswim7,7.746
Slc25a45,7.742
Cdk15,7.73
Kctd20,7.727
Popdc3,7.726
Kidins220,7.725
Nmu,7.717
Pdxdc1,7.716
Cep19,7.713
Muc4,7.713
Zfp52,7.711
Postn,7.705
Mturn,7.703
Sppl2b,7.698
Mpv17l,7.693
Wbp2,7.689
Vezf1,7.685
Gpr173,7.683
Trp53inp2,7.67
Amer1,7.668
Stat1,7.668
Prmt3,7.666
Sdf4,7.656
Pts,7.643
Tfdp2,7.638
Bcl2l11,7.636
Rorb,7.629
Pskh1,7.625
Tspyl4,7.624
Sgcg,7.619
Abat,7.614
Cped1,7.614
1700025G04Rik,7.612
Cast,7.608
Cilp2,7.608
Serpinb8,7.608
Mfng,7.594
Pim1,7.581
Gpr137c,7.579
Itm2c,7.574
Xpc,7.572
Wfdc1,7.565
Susd2,7.561
Cetn4,7.559
Nsf,7.551
Fmo5,7.549
Sox13,7.534
Creb3l1,7.53
Rhov,7.529
Fam83a,7.524
Bnip3l,7.523
Ripply1,7.523
Coq8b,7.522
Trpv1,7.521
Stk39,7.513
Snapin,7.512
Cilp,7.504
Pla2g15,7.496
Man2b1,7.493
Dnajc18,7.487
Hexb,7.487
Casp7,7.486
Gnaz,7.477
Csgalnact2,7.476
Vmn2r26,7.476
Dixdc1,7.471
Ube2e2,7.471
Gbp6,7.467
Gsta4,7.464
Ttc12,7.443
Runx2,7.44
Gaa,7.419
Filip1l,7.416
Amacr,7.405
Cul4b,7.405
Naglu,7.403
Itpkb,7.396
Fbln7,7.395
Ttc7b,7.393
Ube2h,7.391
Ampd1,7.384
Kif9,7.381
4931406C07Rik,7.379
Stk36,7.371
Tafa5,7.371
Tspoap1,7.362
9530068E07Rik,7.361
Fbxo36,7.352
Slc16a10,7.349
Gdf11,7.348
Gid4,7.345
Col24a1,7.329
Shisa5,7.315
Mgst3,7.314
Nrxn3,7.296
Echdc1,7.294
Cacnb2,7.29
Ankib1,7.288
Map9,7.276
Pls3,7.271
Cfap36,7.264
Lrrc49,7.253
Prrg4,7.251
D2hgdh,7.25
Lrp4,7.25
Ralgds,7.247
Pcyox1l,7.238
Lgals9,7.235
Eif2ak1,7.217
Mindy4,7.217
Glis3,7.216
Ryr3,7.207
Lmbrd1,7.205
Tmem104,7.203
Cnksr3,7.201
Tmem198,7.195
Cmtm4,7.194
Gstm2,7.194
D3Ertd751e,7.183
Sfxn5,7.175
Otud1,7.171
Gnb5,7.157
Lrrk2,7.155
Fahd2a,7.15
Etfa,7.139
Emilin2,7.135
Mier1,7.127
Mybpc2,7.127
Wdr6,7.123
Fuz,7.122
Ggps1,7.116
Akt3,7.112
Parp9,7.112
Ptpre,7.112
Pon2,7.099
Nphp1,7.09
Gstt1,7.081
Ccdc6,7.078
Mapk8ip1,7.073
Btla,7.072
Zc3h7b,7.069
9930111J21Rik2,7.066
Lyrm4,7.066
Dock7,7.062
Lgals8,7.062
Pccb,7.062
Epb41,7.057
Inpp5f,7.05
Pip4k2c,7.045
Tmem260,7.042
Abcc5,7.039
Klhdc1,7.034
Tspan7,7.029
Dennd5a,7.022
Fmod,7.012
Polr3gl,7.009
Ahcyl1,7.004
Dgat2,7.001
Tlr3,6.996
Cetn2,6.991
Fmo1,6.981
Zfp521,6.981
Tiam1,6.975
Atl1,6.962
Cnp,6.952
Cd28,6.95
Ctso,6.946
Fbxo4,6.946
Sntb1,6.946
Ticam1,6.945
Wdtc1,6.943
Kif5c,6.939
Tmem158,6.937
Aga,6.934
Dennd4a,6.933
Aph1b,6.92
Xdh,6.919
Atg13,6.914
Tshz3,6.909
Pxmp4,6.905
Dtd1,6.901
Dcn,6.9
Cc2d2a,6.897
Cyp4f17,6.897
Fn1,6.897
Alkbh5,6.894
Ing4,6.892
Tgm5,6.891
Creg1,6.889
Tmem167b,6.884
Ift74,6.883
Klhdc8b,6.88
1700003E16Rik,6.879
Nrarp,6.877
Ecm2,6.875
S1pr3,6.872
Wdr19,6.868
Acsl4,6.861
Col27a1,6.861
Qpct,6.855
Cyp4v3,6.842
Mgat4a,6.839
Ttc30b,6.826
Abhd12,6.825
Trim2,6.823
Elf1,6.822
Ift46,6.818
Lrrc61,6.807
Pofut1,6.807
Herc3,6.8
Gng12,6.798
Psap,6.791
Nckipsd,6.786
Prrx2,6.782
Sytl1,6.779
Fez1,6.775
Glt8d2,6.773
Ncam1,6.762
Pfkfb4,6.759
Sema4f,6.758
Bbs5,6.757
Stap2,6.757
C030006K11Rik,6.754
Sat2,6.753
Hgsnat,6.748
Ankrd35,6.74
Rdh12,6.738
Tnfrsf11b,6.738
Ikbke,6.737
Cdnf,6.732
H2-Q4,6.729
Trappc6b,6.729
Pik3r3,6.722
Gstm1,6.72
Igdcc4,6.718
Slc9a1,6.716
Yes1,6.715
Mov10,6.71
Scp2,6.685
Ttc33,6.683
Prss23,6.678
Mmp19,6.676
Hs2st1,6.674
Fggy,6.67
Fuca1,6.67
Pnp,6.667
Nrap,6.665
Itfg1,6.661
Cog7,6.659
Eif1ad14,6.658
Plekhb2,6.657
Adcy3,6.651
Fyco1,6.651
Emp3,6.644
Hdlbp,6.644
Arhgef9,6.643
Diras2,6.643
Cngb1,6.638
Shox2,6.637
Acat3,6.635
Itga1,6.628
Echdc3,6.626
