Gene_name,stat
Tango2,6.569
Nfe2l1,6.567
Slc25a22,6.567
Ppp1r13b,6.566
Tmem41a,6.566
Senp2,6.562
Fzd6,6.561
Chrng,6.56
Fstl3,6.56
Ipmk,6.558
Atp6ap1,6.555
Adamts15,6.554
Tas1r3,6.548
Rnf126,6.544
Ppp1r12b,6.543
Fam98a,6.539
Arhgef10,6.537
Wdtc1,6.535
Dtd1,6.531
Ccdc71l,6.524
Ddrgk1,6.52
Taok3,6.512
Shroom1,6.507
Ogdh,6.503
Ide,6.501
Ufl1,6.501
Art1,6.496
Hint3,6.496
Cdc37l1,6.492
Necap1,6.491
Pkn1,6.488
Arhgap18,6.487
2310057M21Rik,6.486
Gfm2,6.482
Asb8,6.473
Nbea,6.472
Yme1l1,6.47
Elmod2,6.469
Arl6ip5,6.461
Slf1,6.456
Pcyox1l,6.451
Dnajb2,6.448
Gdi1,6.444
Ndufs1,6.444
Antkmt,6.434
Yes1,6.428
Dmtn,6.427
Pnpla2,6.425
Abhd2,6.419
Nmt1,6.418
Hdlbp,6.417
Slc38a9,6.411
Gapdh,6.41
Ola1,6.408
Slc45a3,6.404
Adamtsl4,6.4
Cdk15,6.395
Zdhhc3,6.392
Mcur1,6.391
Zap70,6.386
Serpinb9d,6.38
Galr3,6.378
Sel1l,6.365
Trip4,6.365
Gnpda1,6.362
Serpinb9,6.362
Atf6,6.359
Epb41l1,6.358
Csrp3,6.353
Tnnt2,6.351
Pygo2,6.343
Snx32,6.34
Rufy1,6.338
Jrk,6.336
Cyp3a13,6.335
Hspb3,6.333
Unc119,6.321
Tatdn2,6.315
Tbc1d16,6.315
Tom1l1,6.314
Fsd2,6.312
Slc36a1,6.31
Tcirg1,6.306
Dstyk,6.302
Micu1,6.299
Arf3,6.298
Farp1,6.298
Slc8b1,6.295
Gnb5,6.291
Man2c1,6.287
Padi2,6.284
Ppm1b,6.284
Rab40b,6.284
Kcnb1,6.279
Rbl2,6.278
Slc25a29,6.277
Abcb9,6.265
Rgp1,6.262
H13,6.257
Lrrc57,6.253
Prnp,6.249
Slc9b1,6.249
Gprc5a,6.248
Lpcat2,6.248
Cyp2u1,6.247
Ubc,6.244
Arl2bp,6.238
Kdm1b,6.235
4833439L19Rik,6.234
Ctif,6.234
Mb,6.234
Sh3rf1,6.232
Zfp692,6.232
Abca5,6.23
Marchf9,6.223
Serpinb7,6.218
Cmbl,6.217
Bcat2,6.216
Osbp2,6.215
Mllt11,6.212
Akap17b,6.21
C030006K11Rik,6.208
Dnajb11,6.199
Eml2,6.199
Usp2,6.196
Cklf,6.195
Memo1,6.187
Alkbh3,6.185
Cog5,6.184
Phkb,6.181
Ssc5d,6.179
Rras,6.177
Slc12a7,6.174
Cybc1,6.171
Ensa,6.164
Eppk1,6.162
AI987944,6.156
Cdc73,6.155
Ppm1n,6.155
Lxn,6.152
Pard3b,6.151
Asah1,6.146
Gnl1,6.146
Ptgds,6.144
Pals1,6.131
Fam120c,6.128
Atp8b5,6.126
Sidt2,6.121
Wnk1,6.118
Snapin,6.116
Lrp8,6.112
Capn5,6.109
H2-K1,6.107
Capn2,6.106
Pdcd6ip,6.106
Cgnl1,6.104
Alg2,6.101
Pdss2,6.101
Minpp1,6.093
Cluh,6.086
Tnnt3,6.085
1600014C10Rik,6.084
Ankrd9,6.084
Lmtk3,6.081
Btbd11,6.079
Lonp1,6.075
Fam78a,6.073
Fbxo9,6.073
Lysmd4,6.068
Trim37,6.067
Ctsd,6.062
Grhpr,6.054
Ell,6.053
Bag2,6.051
Nek7,6.045
Epm2a,6.042
Lonp2,6.037
Dock9,6.03
Nudt17,6.028
Dnajc14,6.018
Arl4d,6.016
Bcl2l13,6.015
Slc66a2,6.014
Ttc19,6.013
Tsc22d4,6.01
Ncor2,6.008
Narf,6.007
Eif2d,6.006
Gstm5,6.006
Pitpnm2,6.006
Bdh1,6.003
Fam53a,6.001
Ly96,6.001
Wsb2,6.001
Pex16,6
Exd2,5.987
Zbtb4,5.975
Tmem38b,5.974
Osbpl5,5.969
Scmh1,5.965
Cgref1,5.964
Fam178b,5.96
Capn3,5.955
Pdgfa,5.953
Ciz1,5.951
Taf12,5.95
Gphn,5.945
Mier2,5.941
Nt5c2,5.935
Ube2o,5.933
Cox8b,5.931
Klc4,5.931
Phf21a,5.93
Psg28,5.928
Gys1,5.927
Atp1b1,5.926
Rab11fip1,5.925
Lmod2,5.924
Laptm4b,5.923
Tmem229b,5.923
Hoxa5,5.921
Atp6v1e1,5.919
Ei24,5.919
D2hgdh,5.918
Rccd1,5.913
Cacnb3,5.907
Abhd16a,5.905
Tom1,5.904
Dcaf4,5.9
Zfand3,5.898
Dpf1,5.896
Tmem109,5.894
Zer1,5.894
Pcx,5.881
Pla2g12a,5.877
Tle5,5.869
Ar,5.868
Cdh13,5.867
Ippk,5.858
Cc2d1b,5.852
Dnajc25,5.852
Bsdc1,5.85
Xylt2,5.849
Armc8,5.848
Cep85,5.842
Mgst3,5.841
Nbr1,5.835
Procr,5.834
Rprd1b,5.828
Slc25a20,5.828
Nploc4,5.827
Cand2,5.824
Slc12a9,5.821
Pou6f1,5.819
Prdx3,5.818
Rab6b,5.818
Trappc12,5.818
Ddit4,5.817
Abhd3,5.816
Nlrx1,5.815
Pigs,5.815
Pnkd,5.815
Uggt1,5.814
Pde4dip,5.81
Pigt,5.81
Btbd6,5.809
Csdc2,5.805
Taf13,5.803
Erlec1,5.797
Arhgef6,5.794
Serhl,5.788
Tmed4,5.784
Vps37c,5.78
Tmem101,5.769
Luzp1,5.768
Amigo1,5.767
Chn1,5.763
Miga1,5.76
Tbc1d9b,5.752
Apc2,5.75
Eogt,5.747
Smpdl3b,5.747
Armcx6,5.745
Fbxo7,5.742
Sf1,5.738
Htra2,5.722
Sanbr,5.718
Shox2,5.718
Slc9a6,5.715
Fbxo22,5.704
Bag3,5.703
Bmpr2,5.703
Zbtb7b,5.7
Hr,5.696
Med15,5.696
Arhgef7,5.695
Msl1,5.692
Ing2,5.69
Usp28,5.688
Itgb4,5.687
Vax2,5.687
Nfic,5.683
Vegfa,5.682
Vps33a,5.681
Lyrm4,5.68
Sema3c,5.68
Cep120,5.679
Cnnm3,5.677
Hhatl,5.675
Bcl2l1,5.674
Tmcc2,5.666
Slc37a4,5.665
Dok5,5.664
Dip2b,5.655
Hcfc1r1,5.655
Pmpcb,5.654
Lamtor3,5.653
Mapk1ip1,5.652
Mtmr1,5.65
Xbp1,5.649
Cd81,5.647
Dlat,5.647
Atp6v0a1,5.646
Col5a2,5.638
Socs7,5.637
Art5,5.635
Rsph3b,5.634
Pgm2l1,5.63
Tulp4,5.629
Dgcr2,5.628
Dhh,5.628
Phykpl,5.628
Fhip1a,5.621
Dnai4,5.62
Sema5a,5.618
Nsun4,5.616
Opn3,5.601
Ptgr2,5.599
Obsl1,5.598
Tspan7,5.598
Egln3,5.593
Eif2b4,5.592
Clptm1,5.59
Polb,5.585
Pdzd4,5.583
Fosl2,5.582
Ykt6,5.578
Hjv,5.574
Nup88,5.574
Pithd1,5.571
Pigv,5.568
Tbl2,5.567
Gga2,5.562
Klhdc8b,5.559
Fntb,5.558
Lyz2,5.557
Tor1aip1,5.557
Uchl3,5.55
Nrxn3,5.549
Riok3,5.548
Timm29,5.544
Tmem191c,5.542
Tbc1d20,5.54
Nudt22,5.536
Tmod1,5.536
Ypel5,5.536
Dlgap4,5.532
Mef2d,5.532
Gamt,5.529
Dctn2,5.525
Zdhhc2,5.523
Zfp36,5.523
Slc35d1,5.52
Nfs1,5.519
B3galnt2,5.516
Psen1,5.511
Dennd6b,5.509
Pex1,5.509
Arfgef2,5.508
Il34,5.508
Cox15,5.504
Castor2,5.503
Ncoa1,5.498
H2-Ke6,5.496
Slco4a1,5.493
Akt2,5.483
Scly,5.477
Ulk3,5.476
Tmem205,5.474
Clip1,5.472
Mrpl33,5.47
Snrpn,5.468
Yipf3,5.467
Gpr89,5.461
Wdr37,5.46
Xlr3a,5.458
Mphosph8,5.456
Nrbp1,5.456
Higd2a,5.455
Muc15,5.45
Mdh1,5.445
Slc39a3,5.444
Slc22a18,5.44
Rasgef1a,5.435
Abcb8,5.434
Dennd4a,5.434
Sult2b1,5.432
Vash1,5.431
Kdelr3,5.43
Vps52,5.43
Higd1a,5.425
Hectd4,5.421
Gramd3,5.419
Dnajc5,5.412
Mapre3,5.41
Gnpat,5.409
Ttc39b,5.409
Decr2,5.403
Ranbp9,5.403
Ufc1,5.403
Mtor,5.4
Sms,5.4
Sat2,5.397
Sh3glb2,5.396
Scel,5.395
Slc12a5,5.395
Fgd6,5.392
Kif3c,5.392
Cst6,5.388
Pard3,5.387
Zfp697,5.386
Smad3,5.377
Slc6a19,5.376
Bid,5.375
H3c15,5.373
Megf8,5.368
Plxdc2,5.368
Mlycd,5.367
Pbx4,5.365
Tcaim,5.362
Edem3,5.36
Sspn,5.359
Dag1,5.358
Vamp8,5.354
Hnrnpl,5.353
Tbx1,5.349
Pex14,5.346
Pcmt1,5.344
Sap30,5.336
Glipr1,5.333
Cnp,5.323
Cd164,5.321
Adcy9,5.319
Rhod,5.313
Mylk3,5.311
Nap1l2,5.307
Fcsk,5.306
Tmem131l,5.305
Ckm,5.304
Ifih1,5.301
Tmem104,5.301
Bpgm,5.3
Rras2,5.296
Gm2381,5.295
Msi2,5.295
Akr1b3,5.294
Syvn1,5.294
Trappc2l,5.294
Myom2,5.293
Fth1,5.29
Ddb1,5.284
Cacng1,5.283
Nomo1,5.277
Agpat1,5.275
Sgsm1,5.275
Klc3,5.269
Scx,5.265
Serf1,5.263
Nudt14,5.262
Gadd45b,5.26
Hdac9,5.254
Paip2,5.253
Pim1,5.251
Efna2,5.25
Zyg11b,5.248
Alg1,5.244
Alpl,5.244
Fgf11,5.233
Spop,5.229
Dcaf12,5.228
Polr3c,5.227
Pacsin2,5.225
Smim5,5.225
